mission_id,time,real_x,real_y,real_z,vx,vy,vz,ax,ay,az,roll,pitch,yaw,wind_x,wind_y,wind_z,erreur_m,velocity,rain,fog,snow,is_attack
1,1745178855.0110407,0.0,0.0,-5.0,0.2748912274837494,-0.0028969699051231,0.3345122337341308,-0.0517120510339736,0.0188126526772975,-15.449379920959473,0.0163911250900686,0.0020489629014455,-3.1196290586680497,2.709812048585534,1.7384816941020105,0.4271646775547645,2.542877896773282,5.92,0.04,0.191,0.197,1
1,1745178855.013157,2.0,0.0,-5.0,0.2748912274837494,-0.0028969699051231,0.3345122337341308,-0.0889592543244361,-0.0302369520068168,-15.738588333129885,0.0163911250900686,0.0020489629014455,-3.1196290586680497,3.098013969788321,1.6279949912669358,0.4989192946828409,3.498653917880778,5.92,0.04,0.191,0.197,1
1,1745178855.0150647,4.0,0.0,-5.0,0.2748912274837494,-0.0028969699051231,0.3345122337341308,-0.0889592543244361,-0.0302369520068168,-15.738588333129885,0.0163911250900686,0.0020489629014455,-3.1196290586680497,3.2967383332577125,1.7965595467717423,0.4598644627635626,5.100483357124786,5.92,0.04,0.191,0.197,1
1,1745178855.0184307,6.0,0.0,-5.0,0.2748912274837494,-0.0028969699051231,0.3345122337341308,-0.0773545205593109,-0.0998971983790397,-15.87862491607666,0.0141036014424461,0.001748300922136,-3.119636203828865,2.927465425312552,2.2845934712270206,0.4998799358575954,6.91297922140023,5.92,0.04,0.191,0.197,1
1,1745178855.0200982,8.0,0.0,-5.0,0.2748912274837494,-0.0028969699051231,0.3345122337341308,-0.1567774713039398,-0.0179135799407959,-15.996201515197754,0.0141036014424461,0.001748300922136,-3.119636203828865,2.92917995281461,1.724429012779371,0.4943554768247164,8.80702179824234,5.92,0.04,0.191,0.197,1
1,1745178855.0217056,10.0,0.0,-5.0,0.2748912274837494,-0.0028969699051231,0.3345122337341308,-0.1567774713039398,-0.0179135799407959,-15.996201515197754,0.0141036014424461,0.001748300922136,-3.119636203828865,3.387472869089555,2.2241583323052883,0.4116159284836884,10.739552327444573,5.92,0.04,0.191,0.197,1
1,1745178855.0236757,12.0,0.0,-5.0,0.2748912274837494,-0.0028969699051231,0.3345122337341308,-0.0094454567879438,-0.0302784889936447,-16.237716674804688,0.0141036014424461,0.001748300922136,-3.119636203828865,3.001587025792844,1.5875048759959245,0.5743646712171248,12.6930034047551,5.92,0.04,0.191,0.197,1
1,1745178855.0258138,14.0,0.0,-5.0,0.2748912274837494,-0.0028969699051231,0.3345122337341308,-0.0607793219387531,0.0661676079034805,-16.23349380493164,0.0141036014424461,0.001748300922136,-3.119636203828865,3.49553964914038,2.363642034777139,0.5326815527952293,14.65901383696492,5.92,0.04,0.191,0.197,0
1,1745178855.8386564,16.0,0.0,-5.0,4.09981107711792,0.0492601133882999,-1.6342839002609253,-0.0326266698539257,0.0135084744542837,-10.316366195678713,0.3865564305830062,0.0223438906835064,-3.120746513301147,3.286583854218718,1.6033394482374717,0.4851598109254814,14.975409751774183,5.92,0.04,0.191,0.197,0
1,1745178856.3468263,18.0,0.0,-5.0,5.377077579498291,0.0701429918408393,-1.3251959085464478,0.0248464122414588,0.0142527893185615,-9.098419189453123,0.2251121191060943,0.0300521755928161,-3.121899507509122,2.929297064086724,2.244982349255279,0.4218704007064346,14.707238244236468,5.92,0.04,0.191,0.197,0
